home_team,away_team,group,sim_prob_home_win,sim_prob_draw,sim_prob_away_win
Mexico,South Korea,A,0.5763,0.2583,0.1654
Mexico,South Africa,A,0.7647,0.1786,0.0567
Mexico,Czech Republic,A,0.4957,0.2388,0.2655
South Africa,Czech Republic,A,0.3775,0.2395,0.383
South Korea,South Africa,A,0.6553,0.2197,0.125
South Korea,Czech Republic,A,0.4109,0.2234,0.3657
Bosnia and Herzegovina,Qatar,B,0.5496,0.2721,0.1783
Canada,Switzerland,B,0.2793,0.3029,0.4178
Canada,Bosnia and Herzegovina,B,0.6379,0.2465,0.1156
Canada,Qatar,B,0.7151,0.2204,0.0645
Switzerland,Bosnia and Herzegovina,B,0.7547,0.1678,0.0775
Switzerland,Qatar,B,0.8218,0.1385,0.0397
Australia,Paraguay,C,0.3688,0.3121,0.3191
Turkey,Australia,C,0.5284,0.273,0.1986
Turkey,Paraguay,C,0.4591,0.2875,0.2534
United States,Turkey,C,0.3605,0.2477,0.3918
United States,Australia,C,0.4476,0.2694,0.283
United States,Paraguay,C,0.4218,0.2567,0.3215
Ecuador,Ivory Coast,D,0.5954,0.2809,0.1237
Ecuador,Curaçao,D,0.5499,0.2735,0.1766
Germany,Ecuador,D,0.5416,0.2661,0.1923
Germany,Ivory Coast,D,0.7448,0.1712,0.084
Germany,Curaçao,D,0.7192,0.1769,0.1039
Ivory Coast,Curaçao,D,0.5726,0.2316,0.1958
Japan,Netherlands,E,0.3015,0.2908,0.4077
Japan,Sweden,E,0.5819,0.229,0.1891
Japan,Tunisia,E,0.6663,0.227,0.1067
Netherlands,Sweden,E,0.6918,0.1931,0.1151
Netherlands,Tunisia,E,0.7552,0.1743,0.0705
Sweden,Tunisia,E,0.5108,0.245,0.2442
Saudi Arabia,Uruguay,F,0.1197,0.2365,0.6438
Saudi Arabia,Cape Verde,F,0.4996,0.2658,0.2346
Spain,Saudi Arabia,F,0.8885,0.0933,0.0182
Spain,Uruguay,F,0.6761,0.2093,0.1146
Spain,Cape Verde,F,0.907,0.0794,0.0136
Uruguay,Cape Verde,F,0.7588,0.1799,0.0613
France,Senegal,G,0.6791,0.2139,0.107
France,Iraq,G,0.8403,0.1288,0.0309
France,Norway,G,0.6721,0.2028,0.1251
Iraq,Norway,G,0.1751,0.2731,0.5518
Senegal,Iraq,G,0.6793,0.2308,0.0899
Senegal,Norway,G,0.4214,0.2858,0.2928
Brazil,Morocco,H,0.574,0.2584,0.1676
Brazil,Scotland,H,0.7162,0.1726,0.1112
Brazil,Haiti,H,0.8507,0.1211,0.0282
Morocco,Scotland,H,0.524,0.2712,0.2048
Morocco,Haiti,H,0.7244,0.2152,0.0604
Scotland,Haiti,H,0.6748,0.2151,0.1101
Colombia,Uzbekistan,I,0.6788,0.2334,0.0878
Colombia,DR Congo,I,0.7068,0.2182,0.075
Portugal,Colombia,I,0.4573,0.284,0.2587
Portugal,Uzbekistan,I,0.7161,0.2078,0.0761
Portugal,DR Congo,I,0.7409,0.1918,0.0673
Uzbekistan,DR Congo,I,0.4613,0.3278,0.2109
Croatia,Ghana,J,0.8028,0.1501,0.0471
England,Panama,J,0.7415,0.1932,0.0653
England,Croatia,J,0.5722,0.2573,0.1705
England,Ghana,J,0.8663,0.109,0.0247
Panama,Croatia,J,0.2167,0.2957,0.4876
Panama,Ghana,J,0.6349,0.2434,0.1217
Algeria,Austria,K,0.3168,0.2885,0.3947
Algeria,Jordan,K,0.5996,0.2531,0.1473
Argentina,Algeria,K,0.7653,0.1777,0.057
Argentina,Austria,K,0.6801,0.2193,0.1006
Argentina,Jordan,K,0.8446,0.1285,0.0269
Austria,Jordan,K,0.7064,0.1996,0.094
Belgium,Iran,L,0.617,0.2316,0.1514
Belgium,New Zealand,L,0.8239,0.1277,0.0484
Belgium,Egypt,L,0.6919,0.1995,0.1086
Iran,New Zealand,L,0.6729,0.2277,0.0994
Iran,Egypt,L,0.4858,0.3027,0.2115
New Zealand,Egypt,L,0.2225,0.323,0.4545
